Month,State,Loan_Commitments,Year
Aug,New South Wales,2516,2006
Sep,New South Wales,2551,2006
Oct,New South Wales,2653,2006
Nov,New South Wales,2620,2006
Dec,New South Wales,2566,2006
Jan,New South Wales,2627,2007
Feb,New South Wales,2605,2007
Mar,New South Wales,2728,2007
Apr,New South Wales,2843,2007
May,New South Wales,2701,2007
Jun,New South Wales,2742,2007
Jul,New South Wales,2734,2007
Aug,New South Wales,2699,2007
Sep,New South Wales,2528,2007
Oct,New South Wales,2786,2007
Nov,New South Wales,2808,2007
Dec,New South Wales,2764,2007
Jan,New South Wales,2785,2008
Feb,New South Wales,2729,2008
Mar,New South Wales,2398,2008
Apr,New South Wales,2438,2008
May,New South Wales,2297,2008
Jun,New South Wales,2302,2008
Jul,New South Wales,2327,2008
Aug,New South Wales,2358,2008
Sep,New South Wales,2348,2008
Oct,New South Wales,2207,2008
Nov,New South Wales,2974,2008
Dec,New South Wales,3535,2008
Jan,New South Wales,4058,2009
Feb,New South Wales,4651,2009
Mar,New South Wales,5191,2009
Apr,New South Wales,5086,2009
May,New South Wales,4961,2009
Jun,New South Wales,4934,2009
Jul,New South Wales,4336,2009
Aug,New South Wales,4029,2009
Sep,New South Wales,3881,2009
Oct,New South Wales,3568,2009
Nov,New South Wales,2905,2009
Dec,New South Wales,2537,2009
Jan,New South Wales,2358,2010
Feb,New South Wales,2090,2010
Mar,New South Wales,1878,2010
Apr,New South Wales,2002,2010
May,New South Wales,2104,2010
Jun,New South Wales,1885,2010
Jul,New South Wales,1958,2010
Aug,New South Wales,1797,2010
Sep,New South Wales,1805,2010
Oct,New South Wales,1630,2010
Nov,New South Wales,1744,2010
Dec,New South Wales,1878,2010
Jan,New South Wales,1819,2011
Feb,New South Wales,1723,2011
Mar,New South Wales,1891,2011
Apr,New South Wales,1869,2011
May,New South Wales,1953,2011
Jun,New South Wales,1841,2011
Jul,New South Wales,1791,2011
Aug,New South Wales,1801,2011
Sep,New South Wales,2090,2011
Oct,New South Wales,2424,2011
Nov,New South Wales,2832,2011
Dec,New South Wales,3423,2011
Jan,New South Wales,2953,2012
Feb,New South Wales,1660,2012
Mar,New South Wales,1370,2012
Apr,New South Wales,1482,2012
May,New South Wales,1557,2012
Jun,New South Wales,1568,2012
Jul,New South Wales,1602,2012
Aug,New South Wales,1712,2012
Sep,New South Wales,1931,2012
Oct,New South Wales,1586,2012
Nov,New South Wales,1327,2012
Dec,New South Wales,1086,2012
Jan,New South Wales,1120,2013
Feb,New South Wales,1209,2013
Mar,New South Wales,1160,2013
Apr,New South Wales,1277,2013
May,New South Wales,1210,2013
Jun,New South Wales,1240,2013
Jul,New South Wales,1380,2013
Aug,New South Wales,1340,2013
Sep,New South Wales,1293,2013
Oct,New South Wales,1297,2013
Nov,New South Wales,1359,2013
Dec,New South Wales,1290,2013
Jan,New South Wales,1334,2014
Feb,New South Wales,1372,2014
Mar,New South Wales,1386,2014
Apr,New South Wales,1311,2014
May,New South Wales,1321,2014
Jun,New South Wales,1347,2014
Jul,New South Wales,1223,2014
Aug,New South Wales,1322,2014
Sep,New South Wales,1374,2014
Oct,New South Wales,1356,2014
Nov,New South Wales,1331,2014
Dec,New South Wales,1275,2014
Jan,New South Wales,1309,2015
Feb,New South Wales,1384,2015
Mar,New South Wales,1421,2015
Apr,New South Wales,1307,2015
May,New South Wales,1237,2015
Jun,New South Wales,1290,2015
Jul,New South Wales,1276,2015
Aug,New South Wales,1201,2015
Sep,New South Wales,1201,2015
Oct,New South Wales,1141,2015
Nov,New South Wales,1082,2015
Dec,New South Wales,1190,2015
Jan,New South Wales,1227,2016
Feb,New South Wales,1247,2016
Mar,New South Wales,1079,2016
Apr,New South Wales,1308,2016
May,New South Wales,1213,2016
Jun,New South Wales,1281,2016
Jul,New South Wales,1115,2016
Aug,New South Wales,1056,2016
Sep,New South Wales,1016,2016
Oct,New South Wales,1060,2016
Nov,New South Wales,1055,2016
Dec,New South Wales,1146,2016
Jan,New South Wales,1136,2017
Feb,New South Wales,1088,2017
Mar,New South Wales,1135,2017
Apr,New South Wales,1128,2017
May,New South Wales,1242,2017
Jun,New South Wales,1267,2017
Jul,New South Wales,1659,2017
Aug,New South Wales,1939,2017
Sep,New South Wales,1920,2017
Oct,New South Wales,1883,2017
Nov,New South Wales,1973,2017
Dec,New South Wales,1928,2017
Jan,New South Wales,1983,2018
Feb,New South Wales,2263,2018
Mar,New South Wales,1923,2018
Apr,New South Wales,2055,2018
May,New South Wales,2112,2018
Jun,New South Wales,2010,2018
Jul,New South Wales,2008,2018
Aug,New South Wales,1967,2018
Sep,New South Wales,1924,2018
Oct,New South Wales,1948,2018
Nov,New South Wales,2005,2018
Dec,New South Wales,1855,2018
Jan,New South Wales,1750,2019
Feb,New South Wales,2012,2019
Mar,New South Wales,1816,2019
Apr,New South Wales,1868,2019
May,New South Wales,1935,2019
Jun,New South Wales,1991,2019
Jul,New South Wales,2146,2019
Aug,New South Wales,2231,2019
Sep,New South Wales,2201,2019
Oct,New South Wales,2137,2019
Nov,New South Wales,2314,2019
Dec,New South Wales,2331,2019
Jan,New South Wales,2470,2020
Feb,New South Wales,2461,2020
Mar,New South Wales,2553,2020
Apr,New South Wales,2454,2020
May,New South Wales,2012,2020
Jun,New South Wales,2412,2020
Jul,New South Wales,2618,2020
Aug,New South Wales,2946,2020
Sep,New South Wales,3188,2020
Oct,New South Wales,3182,2020
Nov,New South Wales,3187,2020
Dec,New South Wales,3447,2020
Jan,New South Wales,3718,2021
Feb,New South Wales,3370,2021
Mar,New South Wales,3471,2021
Apr,New South Wales,3478,2021
